"LOCATION_NAME","LONGITUDE","LATITUDE"
"001-Cebeci Hayvan Bakim Evi","28.846368","41.125639"
"032-Beyoglu Park ve Bahceler","28.993936","41.042018"
"KARTAL KORDONBOYU MAH.","29.196231","40.886281"
"KAĞITHANE ÇAĞLAYAN","28.97885","41.07736"
"031-Sarachane 50.Yil Parki","28.956215","41.014868"
"007-Gungoren Itfaiye","28.888523","41.016872"
"018-Beyazit Meydan","28.966779","41.009197"
"MALTEPE CEZAEVİ","28.94416","41.0147"
"001-Edirnekapi Ilaclama","28.927331","41.029579"
"SULTANGAZİ İSMETPAŞA","28.855246","41.112501"
"SULTANBEYLİ MEHMET AKİF SPOR EĞİTİM MERKEZİ","29.26809","40.96523"
"024-Florya Sosyal Tesisleri","28.807531","40.960245"
"SULTANBEYLİ GÖLET SPOR TESİSİ","29.2745292087257","40.9505002973596"
"067-Umraniye Devlet Hastanesi","29.102755","41.032903"
"ISKI-Bakirkoy","28.871312","40.980678"
"İBB Tozkoparan Tıp Merkezi","28.8925207260333","41.0149021069741"
"METRO T1-CEMBERLITAS","28.971365","41.008451"
"SANCAKTEPE TOPLUM VE RUH SAĞLIĞI MERKEZİ","28.94416","41.0147"
"025-Hidayet Turkoglu Spor Tesisi","28.884133","41.065358"
"HALDUN ALAGAŞ SPOR KOMPLEKSİ","29.1046043654037","41.025101237112"
"METRO T1-GULHANE","28.97821","41.011816"
"031-Kartal Cecenistan Parki","29.187151","40.888024"
"018-Atakoy Ugur Mumcu Bulvari","28.848893","40.985851"
"TUZLA ORHANLI","29.356229","40.895616"
"018-Maltepe Meydan","29.131164","40.924939"
"GÜNGÖREN SPOR EĞİTİM MERKEZİ","28.873315","41.024597"
"METRO T1-LALELI","28.959765","41.009561"
"TUZLA YAYLA BELNET ŞUBESİ","28.94416","41.0147"
"018-Kabatas Meydan","28.989684","41.031331"
"007-Kayasehir Resneli Itfaiye","28.741307","41.083986"
"028-Miniaturk","28.948654","41.059908"
"025-Cekmekoy Spor Kompleksi","29.185173","41.023395"
"014-Metin And Kutuphanesi","28.792729","40.997973"
"ISKI-Arnavutkoy","28.728392","41.200606"
"007-Bagcilar Turgut Reis Itfaiye","28.867145","41.064624"
"FATİH TASARIM VE ÜRETİM MERKEZİ","28.95093","41.026"
"018-Kuleli Sahil","29.052767","41.060221"
"001-Bayrampasa Aydinlatma Mudurlugu","28.889769","41.05908"
"ÜMRANİYE TOPLUM VE RUH SAĞLIĞI MERKEZİ","28.94416","41.0147"
"IETT GM-Gumussuyu-In","28.591082","41.022278"
"BEYOĞLU YÜZME HAVUZU","28.9689260924864","41.0295052114254"
"PENDİK VELİBABA","29.2554","40.90518"
"EYÜPSULTAN","28.931916","41.048701"
"KAĞITHANE ÇELİKTEPE","29.002935","41.083575"
